ubicageo_c,ahirregu_a,rensnn1,rensnn2
11027,1,1,1
11028,1,1,1
11029,1,1,1
11030,1,1,1
11031,1,1,1
11032,1,1,2
11033,1,1,2
11034,1,1,2
11035,1,1,1
11036,1,2,0
11037,1,1,2
11038,1,1,1
11039,1,2,0
11040,1,2,0
11041,1,1,1
11042,1,2,0
11043,1,2,0
11044,1,1,1
11045,1,2,0
11046,1,2,0
12001,1,1,1
12002,1,2,0
12003,1,2,0
12004,1,1,2
12005,1,2,0
12006,1,2,0
12007,1,2,0
12008,1,1,2
12009,1,2,0
12010,1,2,0
12011,1,1,1
12012,1,1,1
12013,1,1,2
12014,1,1,2
12015,1,1,2
12016,1,1,2
12017,1,2,0
12018,1,1,2
12019,1,2,0
12020,1,2,0
12021,1,1,1
12022,1,1,2
12023,1,1,1
12024,1,1,2
12025,1,2,0
12026,1,1,2
12027,1,2,0
12028,1,1,2
12029,1,1,1
12030,1,1,2
12031,1,2,0
12032,1,1,2
12033,1,2,0
12034,1,2,0
12035,1,1,2
12036,1,2,0
12037,1,2,0
12038,1,1,1
12039,1,2,0
12040,1,1,1
12041,1,2,0
12042,1,1,2
12043,1,2,0
12044,1,2,0
12045,1,2,0
12046,1,1,1
12047,1,2,0
12048,1,1,2
12049,1,2,0
12050,1,1,2
12051,1,1,1
12052,1,2,0
12053,1,2,0
12054,1,2,0
12055,1,1,2
12056,1,1,2
12057,1,2,0
12058,1,1,2
12059,1,1,2
12060,1,2,0
12061,1,2,0
12062,1,1,2
12063,1,2,0
12064,1,2,0
12065,1,2,0
12066,1,1,1
12067,1,1,2
12068,1,2,0
12069,1,2,0
12070,1,2,0
12071,1,1,2
12072,1,2,0
12073,1,2,0
12074,1,2,0
12075,1,1,2
12076,1,2,0
12077,1,2,0
12078,1,2,0
12079,1,2,0
12080,1,2,0
12081,1,2,0
13001,1,2,0
13002,1,2,0
13003,1,2,0
13004,1,9,97
13005,1,9,97
13006,1,2,0
13007,1,1,2
13008,1,2,0
13009,1,2,0
13010,1,9,97
13011,1,2,0
13012,1,9,97
13013,1,2,0
